type,secteur,etage,surface habitable,surface totale,nbr chambre,nbr salleBain,salon,age de bien,prix
"appartements, à vendre",belvédère,7+,80,100,1,1,1,11-20 ans,650 000 DH
"appartements, à vendre",bourgogne,2,91,91,2,1,1,1-5 ans,950 000 DH
"appartements, à vendre",beauséjour,4,119,None,3,2,1,None,1 950 000 DH
None,None,None,None,None,None,None,None,None,None
"appartements, à vendre",sidi bernoussi,6,50,None,3,None,None,None,250 000 DH
"appartements, à vendre",sidi bernoussi,4,64,None,2,None,None,neuf,8 500 DH
"appartements, à vendre",sidi bernoussi,rez de chaussée,49,100,3,None,None,neuf,7 200 DH
None,None,None,None,None,None,None,None,None,None
"appartements, à vendre",autre secteur,3,56,56,1,1,1,1-5 ans,600 000 DH
"appartements, à vendre",oulfa,1,100,160,3,2,3,21+ ans,1 250 000 DH
"appartements, à vendre",hay hassani,1,72,76,2,1,1,21+ ans,580 000 DH
"appartements, à vendre",aïn sebaâ,4,108,108,4,2,1,None,1 250 000 DH
None,None,None,None,None,None,None,None,None,None
"appartements, à vendre",ben ejdia,2,147,147,3,1,2,6-10 ans,1 300 000 DH
"appartements, à vendre",sidi maarouf,1,56,58,2,1,1,11-20 ans,560 000 DH
"appartements, à vendre",oulfa,2,69,69,2,1,1,11-20 ans,750 000 DH
"appartements, à vendre",aïn chock,3,94,94,2,2,2,None,1 450 000 DH
None,None,None,None,None,None,None,None,None,None
"appartements, à vendre",aïn sebaâ,rez de chaussée,62,62,1,2,1,neuf,558 000 DH
"appartements, à vendre",la gironde,None,None,74,2,2,1,None,724 000 DH
"appartements, à vendre",oulfa,2,56,56,2,1,1,6-10 ans,410 000 DH
"appartements, à vendre",maarif,4,69,76,3,2,1,6-10 ans,1 254 000 DH
None,None,None,None,None,None,None,None,None,None
"appartements, à vendre",aïn sebaâ,1,62,62,1,2,1,neuf,620 000 DH
"appartements, à vendre",aïn sebaâ,5,70,None,2,2,1,neuf,582 000 DH
"appartements, à vendre",lissasfa,3,54,64,3,1,1,neuf,250 000 DH
"appartements, à vendre",racine,3,250,250,5,3,3,11-20 ans,3 500 000 DH
None,None,None,None,None,None,None,None,None,None
"appartements, à vendre",quartier des hôpitaux,3,92,92,2,2,2,11-20 ans,1 104 000 DH
"appartements, à vendre",maarif,1,70,76,2,2,1,neuf,1 330 000 DH
"appartements, à vendre",californie,2,115,None,3,2,1,6-10 ans,185 DH
"appartements, à vendre",sidi maarouf,2,None,128,2,1,2,6-10 ans,1 200 000 DH
"appartements, à vendre",roches noires,1,79,79,2,1,1,11-20 ans,840 000 DH
"appartements, à vendre",aïn chock,2,121,121,3,2,1,1-5 ans,1 875 500 DH
"appartements, à vendre",sidi bernoussi,2,70,81,2,2,1,neuf,840 000 DH
"appartements, à vendre",belvédère,6,131,140,3,2,2,6-10 ans,1 700 000 DH
"appartements, à vendre",belvédère,4,106,120,3,2,1,6-10 ans,None
"appartements, à vendre",bourgogne,2,54,54,1,1,1,neuf,None
"appartements, à vendre",racine,1,184,None,3,3,2,11-20 ans,2 900 000 DH
